word,happy,sad
:),1,0
cancer,0,4
lost,0,2
good,1,0
love,1,0
!!,1,0
!!!,1,0
thanks,1,0
lol,1,0
haha,1,0
day,1,0
happy,1,0
now,0,0
:d,0,1
get,0,0
follow,0,0
time,0,0
morning,1,0
night,1,0
today,1,0
got,1,0
know,1,0
thank,1,0
going,1,0
great,1,0
new,1,0
well,1,0
hope,1,0
nice,1,0
please,1,2
hey,1,0
birthday,1,0
think,0,0
home,1,0
twitter,1,0
best,1,0
really,1,0
??,0,0
much,1,0
hehe,1,0
fun,1,0
tonight,1,0
hahaha,1,0
crying,0,2
need,0,1
yes,1,0
come,1,0
wait,0,1
work,0,1
want,0,1
iya,0,1
better,2,0
yeah,1,0
need,1,0
prayer,0,2
done,1,0
right,1,0
still,1,0
say,1,0
way,1,0
weekend,1,0
gonna,0,0
aja,0,0
quake,0,2
kak,1,0
awesome,1,0
always,1,0
yaa,1,0
selamat,1,0
amazing,1,0
let,1,0
tweet,1,0
followed,1,0
miss,0,0
soon,1,0
sad,0,3
death,0,5
bad,0,1
aweful,0,1
cry,0,1
sob,0,1
sick,0,1
mad,0,1
angry,0,1
poor,0,1
toll,0,1
destroy,0,4
adversity,0,3
bias,0,2
support,2,1
traitors,0,2
destroying,0,2
wreking,0,2
kill ,0,2
failing,0,2
losers,0,1
fired,0,3
